year,team,seed,opponent,win margin,previous tournament,tournament two years back,win percent,wins in last 10,percent of wins away,coach tenure,total seasons coaching,coach final fours,coach championships,coach NBA draft picks,automatic bid,RPI,Sagarin/ SRS,SOS,Total Games,ppg,ppg allowed,Efficiency,Efficiency Allowed,Rbs Per Game,Rbs Per Game Allowed,Steals Per Game,Steals Per Game Allowed,Blocks Per Game,FG%,3-pt%,TS%,free throw rate,assists per game,freshmen play time,sophomore play time,junior play time,senior play time,opp_seed,opp_previous tournament,opp_tournament two years back,opp_win%,opp_wins in last 10,opp_percent of wins away,opp_coach tenure,opp_total seasons coaching,opp_coach final fours,opp_coach championships,opp_coach NBA draft picks,opp_automatic bid,opp_RPI,opp_Sagarin/ SRS,opp_SOS,opp_Total Games,opp_Points Scored Per Game,opp_Points Allowed Per Game,opp_Efficiency,opp_Efficiency Allowed,opp_Rbs Per Game,opp_Rbs Per Game Allowed,opp_Steals Per Game,opp_Steals Per Game Allowed,opp_Blocks Per Game,opp_FG%,opp_3-pt%,opp_TS%,opp_free throw rate,opp_assists per game,opp_freshmen play time,opp_sophomore play time,opp_junior play time,opp_senior play time,Round
1987,Iowa,2,santa clara,23,1,1,0.857142857,8,0.466666667,1,16,0,0,5,0,,4,24,35,87.2,74.7,,,,,,,,,,,,,,,,,15,0,0,0.5625,6,0.333333333,17,17,0,0,14,1,,104,116,32,67.7,66.7,,,,,,,,,,,,,,,,,1
1987,Syracuse,2,georgia southern,6,1,1,0.815789474,7,0.258064516,11,11,0,0,17,0,,9,18,38,82.1,72.4,,,,,,,,,,,,,,,,,15,0,0,0.64516129,7,0.35,6,14,0,0,0,1,,188,234,31,69.7,68,,,,,,,,,,,,,,,,,1
1987,Temple,2,southern,19,1,1,0.888888889,9,0.4375,5,15,0,0,4,1,,25,97,36,75,64.7,,,,,,,,,,,,,,,,,15,0,1,0.612903226,10,0.368421053,1,16,0,0,3,1,,165,268,31,86.1,80.1,,,,,,,,,,,,,,,,,1
1987,DePaul,3,louisiana tech,14,1,1,0.903225806,9,0.392857143,3,3,0,0,5,1,,15,101,31,76.1,62.5,,,,,,,,,,,,,,,,,14,0,1,0.733333333,8,0.363636364,2,2,0,0,0,1,,62,91,30,70.1,66.1,,,,,,,,,,,,,,,,,1
1987,Illinois,3,austin peay,-1,1,1,0.741935484,8,0.304347826,12,25,0,0,24,0,,8,13,31,79.8,70.4,,,,,,,,,,,,,,,,,14,0,0,0.625,9,0.4,2,16,0,0,4,1,,107,131,32,78.3,76.2,,,,,,,,,,,,,,,,,1
1987,Pittsburgh,3,marist,25,0,1,0.757575758,7,0.36,1,14,0,0,0,0,,13,32,33,83.6,74.2,,,,,,,,,,,,,,,,,14,1,0,0.666666667,10,0.3,1,6,0,0,1,1,,177,263,30,68.1,63.5,,,,,,,,,,,,,,,,,1
1987,Purdue,3,northeastern,9,1,1,0.833333333,8,0.4,7,9,0,0,6,0,,7,22,30,81.8,71.7,,,,,,,,,,,,,,,,,14,1,1,0.794117647,10,0.444444444,1,4,0,0,0,1,,93,184,34,82.5,76.3,,,,,,,,,,,,,,,,,1
1987,Clemson,4,missouri st,-5,0,0,0.806451613,7,0.32,3,12,0,0,10,0,,14,82,31,84.9,72,,,,,,,,,,,,,,,,,13,0,0,0.823529412,10,0.285714286,4,4,0,0,0,1,,43,169,34,69.6,58.2,,,,,,,,,,,,,,,,,1
1987,Missouri,4,xavier,-1,1,0,0.705882353,9,0.375,20,26,0,0,27,1,,35,42,34,74.1,69.2,,,,,,,,,,,,,,,,,13,1,0,0.59375,7,0.210526316,2,2,0,0,0,1,,114,145,32,76.4,74.4,,,,,,,,,,,,,,,,,1
1987,TCU,4,marshall,16,0,0,0.774193548,7,0.5,8,16,0,0,6,0,,29,50,31,70.9,63.7,,,,,,,,,,,,,,,,,13,0,1,0.806451613,9,0.44,4,4,0,0,2,1,,106,222,31,80.8,73.2,,,,,,,,,,,,,,,,,1
1987,UCLA,4,central michigan,19,0,0,0.78125,9,0.28,3,5,0,0,3,1,,27,38,32,77.9,71.7,,,,,,,,,,,,,,,,,13,0,0,0.733333333,9,0.409090909,2,2,0,0,0,1,,73,136,30,73.2,67.3,,,,,,,,,,,,,,,,,1
1987,Duke,5,texas a and m,7,1,1,0.727272727,6,0.25,7,12,1,0,10,0,,11,35,33,76.9,67.2,,,,,,,,,,,,,,,,,12,0,0,0.548387097,5,0.352941176,24,24,0,0,17,1,,80,85,31,67,65,,,,,,,,,,,,,,,,,1
1987,Kansas,5,houston,11,1,1,0.694444444,5,0.28,4,6,1,0,12,0,,24,29,36,73.3,67.7,,,,,,,,,,,,,,,,,12,0,0,0.6,6,0.333333333,1,7,0,0,9,0,,31,67,30,67.4,60.1,,,,,,,,,,,,,,,,,1
1987,Notre Dame,5,middle tenn st,13,1,1,0.75,9,0.291666667,16,17,0,0,25,0,,32,45,32,65.1,59.4,,,,,,,,,,,,,,,,,12,0,1,0.75862069,7,0.409090909,3,3,0,0,1,0,,96,186,29,83.3,77.2,,,,,,,,,,,,,,,,,1
1987,Virginia,5,wyoming,-4,1,0,0.677419355,7,0.333333333,13,18,2,0,20,0,,21,27,31,74.2,68.4,,,,,,,,,,,,,,,,,12,0,0,0.705882353,7,0.291666667,9,11,0,0,7,1,,56,93,34,70.8,65.9,,,,,,,,,,,,,,,,,1
1987,Florida,6,nc state,12,0,0,0.676470588,5,0.260869565,7,35,0,0,23,0,,5,20,34,84.1,71.9,,,,,,,,,,,,,,,,,11,1,1,0.571428571,7,0.15,7,16,1,1,15,1,,38,21,35,78,75.1,,,,,,,,,,,,,,,,,1
1987,Oklahoma,6,tulsa,5,1,1,0.705882353,4,0.208333333,7,13,0,0,9,0,,12,26,34,89.1,80.1,,,,,,,,,,,,,,,,,11,1,1,0.733333333,7,0.363636364,2,17,0,0,10,0,,46,88,30,69.8,63.5,,,,,,,,,,,,,,,,,1
1987,Providence,6,uab,22,0,0,0.735294118,5,0.32,2,7,0,0,5,0,,16,54,34,86.7,76.9,,,,,,,,,,,,,,,,,11,1,1,0.65625,7,0.333333333,9,26,0,0,26,1,,86,75,32,74.8,74.4,,,,,,,,,,,,,,,,,1
1987,St John's,6,wichita st,2,1,1,0.7,6,0.238095238,22,22,1,0,29,0,,26,33,30,70.5,64.6,,,,,,,,,,,,,,,,,11,0,1,0.666666667,8,0.227272727,1,1,0,0,0,1,,61,86,33,68.1,64.3,,,,,,,,,,,,,,,,,1
